Description,Sexual_harassment
Someone deliberately bumps into another person on a crowded footpath and makes a suggestive comment.,1
A person walking behind another person whispers inappropriate things in their ear.,1
A group of people block the path of a pedestrian and make threatening remarks.,0
Someone throws unwanted objects like pebbles or paper balls at another person walking on the footpath.,0
A lawyer makes inappropriate comments about a witness's appearance during cross-examination.,1
A judge repeatedly interrupts a female lawyer while allowing a male lawyer to speak uninterrupted.,0
A bailiff stands uncomfortably close to a defendant and makes suggestive remarks.,1
A member of the public attending a trial shouts insults or makes sexual gestures towards a party involved in the case.,1
A juror stares excessively and inappropriately at a witness throughout the trial.,0
A lawyer spreads rumors about the opposing counsel's personal life to try to discredit them.,0
A witness is threatened with violence or harm if they testify.,0
"A judge makes biased rulings against a party based on their race, religion, or gender.",0
A lawyer withholds or fabricates evidence to gain an advantage in the case.,0
A member of the media harasses a juror outside the courtroom in an attempt to influence the verdict.,0
A lawyer makes inappropriate comments about a witness's appearance during cross-examination.,1
A judge repeatedly interrupts and talks over a female lawyer while allowing a male lawyer to speak uninterrupted.,0
A bailiff makes suggestive remarks towards a juror while they are on a break.,1
A defendant in a sexual assault case makes threatening gestures towards the victim while they are testifying.,0
A group of supporters of the defendant in a high-profile case shout insults and abuse at the victim outside the courthouse.,0
A lawyer spreads rumors about a judge's personal life to try to influence the outcome of a case.,0
A security guard at the courthouse gropes a defendant or witness during a security check.,1
A lawyer withholds or misrepresents evidence to gain an unfair advantage in a case.,0
A judge makes discriminatory remarks about a lawyer's race or religion during a hearing.,0
A witness is constantly followed and harassed by the opposing party in an attempt to intimidate them.,0
A resident makes suggestive comments about another resident's body while they're using a shared bathroom or kitchen.,1
A roommate constantly borrows another resident's belongings without asking and never returns them.,0
A group of residents constantly belittle another resident for their academic performance or social background.,0
A resident takes pictures of another resident in the shower or changing area without their permission.,1
"A resident constantly blasts loud music or parties late at night, disturbing other residents' sleep.",0
A resident spreads rumors about another resident's personal life or relationships.,0
A resident in a position of authority (like an RA) uses their power to pressure another resident for sexual favors.,1
A group of residents deliberately damage another resident's property out of jealousy or dislike.,0
"A resident constantly follows another resident around the hostel, making them feel uncomfortable and unsafe.",0
A resident constantly criticizes another resident's cleanliness or habits in a demeaning way.,0
A resident makes suggestive comments about another resident's body while they're using a shared bathroom.,1
A roommate constantly borrows a person's belongings without asking and never returns them.,0
A group of residents constantly make fun of another resident's appearance or cultural background.,0
A resident steals another resident's laundry or personal items from the communal laundry room.,0
"A resident constantly blasts loud music late at night, disturbing other residents who are trying to sleep.",0
A resident pressures another resident for sexual favors in exchange for not revealing an embarrassing secret.,1
A group of residents deliberately damage another resident's belongings out of jealousy.,0
A resident constantly spreads rumors or gossip about another resident to damage their reputation.,0
A resident peeks into another resident's room through a window or unlocked door when they know they're not supposed to.,0
A resident follows another resident around the hostel or waits outside their room in a way that makes them feel unsafe.,0
A resident makes suggestive comments about another resident's body while they're using a shared bathroom.,1
A roommate constantly borrows another resident's belongings without asking and never returns them.,0
A group of residents constantly belittle another resident for their academic performance or social awkwardness.,0
A resident intentionally damages another resident's belongings out of jealousy or spite.,0
"A resident constantly blasts loud music or parties late at night, disturbing other residents trying to sleep or study.",0
A resident spreads rumors or lies about another resident to damage their reputation.,0
A resident peeks into another resident's room or belongings without their permission.,0
"A resident makes unwanted sexual advances towards another resident, pressuring them for intimacy.",1
A resident uses a hidden camera to record another resident in a private space like the bathroom.,1
A resident threatens violence or physical harm towards another resident due to a disagreement.,0
"A fan makes lewd comments or gestures towards a player or spectator, particularly if they are female.",1
"A group of fans heckle and use offensive language towards a player or spectator based on their race, ethnicity, or religion.",0
A drunken fan spills a drink on another spectator and refuses to apologize.,0
A vendor at the stadium makes inappropriate comments about a customer's appearance.,1
"A group of fans shove and push their way to the front of the line, cutting in front of others waiting to buy food or drinks.",0
A security guard at the stadium gropes a spectator during a pat-down search.,1
A fan throws objects like bottles or peanuts onto the field in anger or frustration.,0
A group of fans repeatedly shout homophobic or sexist slurs at players or other spectators.,0
"A fan follows another spectator too closely in the parking lot or bathroom, making them feel unsafe.",0
A tailgater blasts loud music next to another car and refuses to turn it down when politely asked.,0
"A fan makes lewd comments or gestures towards a player, specifically targeting a female athlete.",1
A group of fans inebriated with alcohol yell insults and derogatory remarks at opposing team's fans.,0
A vendor selling merchandise makes suggestive comments about a female fan's appearance.,1
"A group of fans shove and push their way to the front of the line, disregarding others waiting patiently.",0
"A drunken fan spills beer on another fan intentionally, starting a confrontation.",0
A security guard at the stadium makes unwanted sexual advances towards a female attendee.,1
"A group of fans constantly belittle a fan wearing the opposing team's jersey, creating a hostile environment.",0
"A fan throws objects like bottles or peanuts onto the field, posing a safety hazard.",0
A parent in the stands uses offensive language or slurs towards a young player on the opposing team.,0
"A fan takes inappropriate pictures of another fan, particularly focusing on revealing areas of their body.",1
A vendor makes suggestive comments about a customer's appearance while trying to sell them something.,1
"A customer follows another customer too closely, making them feel uncomfortable.",0
A group of people use offensive language or slurs directed at a vendor or customer based on their race or ethnicity.,0
A vendor deliberately overcharges a customer because of their gender or perceived wealth.,0
A customer cuts in line in front of another customer and refuses to move when confronted.,0
A group of people block the path of a shopper and make aggressive demands for money.,0
A customer shoves or bumps into another customer while trying to reach a product first.,0
A shopper's belongings are pickpocketed by someone in the crowded market.,0
A vendor shortchanges a customer by giving them less money back than they are owed.,0
A customer is followed by a security guard who suspects them of shoplifting without any evidence.,0
"A vendor makes unwanted sexual advances towards a customer, pressuring them for intimacy.",1
"A customer takes pictures of another customer without their permission, particularly if they are revealing clothing.",1
A group of people constantly belittle a vendor for their product quality or prices.,0
A customer exposes themself to another customer in a secluded area of the market.,1
A vendor spreads rumors about another vendor to try to steal their customers.,0
A customer hides merchandise in their clothing with the intent to steal it from the market.,0
A customer deliberately damages a product on display and blames it on another shopper.,0
A group of people constantly mock a customer's accent or cultural background while shopping.,0
A customer throws unwanted objects like food scraps or used tissues on the market floor.,0
A vendor brushes up against a customer inappropriately while trying to show them a product.,1
A vendor makes suggestive comments about a customer's appearance while trying to sell them something.,1
"A customer follows another customer too closely, making them feel uncomfortable.",0
A group of people use offensive language or slurs directed at a vendor or customer based on their race or ethnicity.,0
A vendor deliberately overcharges a customer because of their gender or perceived wealth.,0
A customer cuts in line in front of another customer and refuses to move when confronted.,0
A group of people block the path of a shopper and make aggressive demands for money.,0
A customer shoves or bumps into another customer while trying to reach a product first.,0
A shopper's belongings are pickpocketed by someone in the crowded market.,0
A vendor shortchanges a customer by giving them less money back than they are owed.,0
A customer is followed by a security guard who suspects them of shoplifting without any evidence.,0
"A vendor makes unwanted sexual advances towards a customer, pressuring them for intimacy.",1
"A customer takes pictures of another customer without their permission, particularly if they are revealing clothing.",1
A group of people constantly belittle a vendor for their product quality or prices.,0
A customer exposes themself to another customer in a secluded area of the market.,1
A vendor spreads rumors about another vendor to try to steal their customers.,0
A customer hides merchandise in their clothing with the intent to steal it from the market.,0
A customer deliberately damages a product on display and blames it on another shopper.,0
A group of people constantly mock a customer's accent or cultural background while shopping.,0
A customer throws unwanted objects like food scraps or used tissues on the market floor.,0
A vendor brushes up against a customer inappropriately while trying to show them a product.,1
Cashier makes suggestive comments about a customer's groceries.,1
"Stocker follows a customer too closely while they're shopping, making them feel uncomfortable.",0
Customer grabs a bakery worker's hand inappropriately while asking about pastries.,1
Group of employees make sexist jokes about female customers within earshot.,1
Manager pressures a young employee for sexual favors in exchange for a better schedule.,1
"Customer cuts in line and refuses to move when confronted, making suggestive remarks.",1
Cashier constantly stares at a customer's chest or makes inappropriate comments about their body.,1
Customer yells at a female employee for refusing to give them a discount.,0
Manager spreads rumors about an employee's personal life to undermine them.,0
Shopper deliberately bumps into another customer with their cart and makes a lewd comment.,1
Salesperson makes suggestive comments about a customer's fitting room choices.,1
"Security guard follows a customer around the store, making them feel watched.",0
Male customer asks a female employee inappropriate questions about her measurements.,1
Group of salespeople mock a customer's accent or cultural background while helping them.,0
"Manager belittles a male employee for not being ""macho"" enough in front of customers.",0
Customer exposes themself to a dressing room attendant while they're helping another customer.,1
Salesperson pressures a customer for their phone number or social media after a sale.,1
"Customer spills a drink on another customer and makes a joke about it being ""intentional.""",0
Employee uses the fitting room camera to record a customer undressing without their knowledge.,1
Customer hides merchandise in a changing room and accuses an employee of stealing it.,0
Vendor whistles at a customer and makes comments about their appearance.,1
Security guard touches a customer inappropriately during a bag search.,1
Group of vendors make lewd jokes about a customer's purchase.,1
Customer tries to haggle with a female vendor in a condescending or disrespectful way.,0
"Vendor follows a customer around the market, pressuring them to buy something.",0
Another customer grabs an item from someone's hands without asking permission.,0
Customer makes homophobic remarks about a vendor selling LGBTQ+ pride merchandise.,0
Vendor spreads rumors about another vendor to steal their customers.,0
Customer pretends to bump into another customer and steals something from their bag.,0
Two vendors get into a physical altercation over a customer's attention.,0
One child repeatedly shoves another child off the slide.,1
A group of children exclude another child from their game and make fun of them.,1
A child takes another child's belongings without permission and refuses to return them.,1
A child yells insults or uses aggressive language towards another child.,1
One child repeatedly shoves another child off the slide.,1
A group of children exclude another child from their game and make fun of them.,1
A child takes another child's belongings without permission and refuses to return them.,1
A child yells insults or uses aggressive language towards another child.,1
A child pushes in line for the swings or other equipment.,1
A child throws sand or other objects at another child.,1
A child climbs on equipment that is not age-appropriate and puts themselves or others at risk.,0
"A child brings and uses a toy that is not age-appropriate for the playground (e.g., sharp objects).",0
A child runs through crowded areas and creates a risk of collision.,0
"A child uses the playground equipment in a dangerous way (e.g., standing on the slide).",0
An older child bullies a younger child by taking advantage of their size or strength.,1
A child brings a pet to the playground that is not allowed (check local regulations).,0
A child damages the playground equipment.,0
An adult yells at a child who is playing on the playground.,1
An adult brings a large group of children to the playground without proper supervision.,0
An adult allows their dog to run loose on the playground.,0
An adult smokes or vapes on the playground.,0
An adult litters on the playground.,0
An adult uses their phone loudly and ignores their children while they play.,0
